date,spy_hold,vehikel_overlay,v3_champion,vix_schatten,semi_schatten,overlay_open_schatten,overlay_zustand_wirksam,vix_level
2026-08-17,0.995273,0.995273,,0.995273,0.995273,0.995273,"{""SPY"": 1.0}",15.1899995803833
2026-08-18,0.988549,0.988549,,0.988549,0.988549,0.986895,"{""SPY"": 1.0}",15.84000015258789
2026-08-19,0.990623,0.999094,,0.990623,0.990623,0.997365,"{""SPY"": 0.5, ""BIL"": 0.25, ""GLD"": 0.25}",14.890000343322754
2026-08-20,0.982302,0.995755,,0.982302,0.982302,0.994048,"{""SPY"": 0.5, ""BIL"": 0.25, ""GLD"": 0.25}",16.010000228881836
2026-08-21,0.98632,1.002729,,0.98632,0.98632,1.000998,"{""SPY"": 0.5, ""BIL"": 0.25, ""GLD"": 0.25}",15.130000114440918
2026-08-24,0.983422,1.003255,,0.983422,0.983422,1.001531,"{""SPY"": 0.5, ""BIL"": 0.25, ""GLD"": 0.25}",15.850000381469727
2026-08-25,0.986565,1.005697,,0.986565,0.986565,1.003996,"{""SPY"": 0.5, ""BIL"": 0.25, ""GLD"": 0.25}",15.449999809265137
2026-08-26,0.986784,1.001871,,0.986784,0.986784,1.000167,"{""SPY"": 0.5, ""BIL"": 0.25, ""GLD"": 0.25}",15.210000038146973
2026-08-27,0.99325,1.005915,,0.99325,0.99325,1.004203,"{""SPY"": 0.5, ""BIL"": 0.25, ""GLD"": 0.25}",14.510000228881836
2026-08-28,0.990996,0.99667,,0.990996,0.990996,0.994965,"{""SPY"": 0.5, ""BIL"": 0.25, ""GLD"": 0.25}",14.430000305175781
